date,value
2021-04-30,90.1513
2021-04-29,90.4289
2021-04-28,90.4666
2021-04-27,90.4468
2021-04-24,90.4676
2021-04-23,92.0423
2021-04-22,92.2913
2021-04-21,91.7507
2021-04-20,91.476
2021-04-17,90.4602
2021-04-16,92.2307
2021-04-15,90.5391
2021-04-14,91.9162
2021-04-13,92.0669
2021-04-10,91.7809
2021-04-09,91.6192
2021-04-08,92.3321
2021-04-07,90.1821
2021-04-06,89.9958
2021-04-03,89.5916
2021-04-02,88.9523
2021-04-01,88.7452
2021-03-31,88.8821
2021-03-30,89.349
2021-03-27,89.2576
2021-03-26,89.9768
2021-03-25,90.0515
2021-03-24,89.767
2021-03-23,88.6573
2021-03-20,88.433
2021-03-19,88.1173
2021-03-18,86.9693
2021-03-17,86.9852
2021-03-16,87.3508
2021-03-13,87.7981
2021-03-12,87.7585
2021-03-11,87.9587
2021-03-10,88.1736
2021-03-06,88.9334
2021-03-05,88.9421
2021-03-04,88.8768
2021-03-03,89.5652
2021-03-02,89.4461
2021-02-27,90.3743
2021-02-26,89.4995
2021-02-25,89.6691
2021-02-21,89.6604
2021-02-20,89.5427
2021-02-19,88.87
2021-02-18,89.0809
2021-02-17,88.9441
2021-02-16,88.9754
2021-02-13,89.6052
2021-02-12,89.4388
2021-02-11,89.5684
2021-02-10,89.5286
2021-02-09,89.4019
2021-02-06,89.885
2021-02-05,90.9206
2021-02-04,91.5624
2021-02-03,91.625
2021-02-02,91.5426
2021-01-30,92.2963
2021-01-29,92.131
2021-01-28,91.2186
2021-01-27,91.6701
2021-01-26,91.1458
2021-01-23,90.4087
2021-01-22,88.9677
2021-01-21,89.1483
2021-01-20,89.2064
2021-01-19,89.3304
2021-01-16,89.2546
2021-01-15,89.6475
2021-01-14,89.7831
2021-01-13,90.3227
2021-01-12,90.8123
2021-01-01,90.7932
